Titre,Réalisateur,Scénariste,Compositeur,Directeur photo,Directeur montage,Acteur 1,Acteur 2,Acteur 3,Genre,Popularité genre,Popularité thème,Rareté émotion,Référence,Budget (M$),Box Office (M$),Rentabilité (%),Succès
Spring Breakers,Harmony Korine,Harmony Korine,Cliff Martinez,Benoît Debie,Douglas Crise,James Franco,Vanessa Hudgens,Selena Gomez,Thriller,3,1,1,0,5,31.7,534,2
Raid dingue,Dany Boon,Dany Boon,Michael Tordjman,Denis Rouden,Elodie Codaccioni,Alice Pol,Dany Boon,Michel Blanc,Comédie,3,0,0,0,38,33.8,-11.05263158,0
Dirty papy,Dan Mazer,John Phillips,Michael Andrews,Eric Alan Edwards,Anne McCabe,Robert de Niro ,Zac Efron ,Zoey Deutch ,Comédie,3,0,0,0,25,105.2,320.8,2
The Man from UNCLE,Guy Ritchie,Guy Ritchie,Daniel Pemberton,John Mathieson,James Herbert,Henry Cavill,Armie Hammer,Alicia Vikander,Espionnage,2,1,1,1,75,109.8,46.4,1
The 5th wave,J Blakeson,Susannah Grant,Henry Jackman,Enrique Chediak,Paul Rubell,Chloë Grace Moretz,Nick Robinson,Alex Roe,SF,3,0,0,0,38,109.9,189.2105263,2
Valerian,Luc Besson,Luc Besson,Alexandre Desplat,Thierry Arbogast,Julien Rey,Dane DeHaan,Cara Delevingne,Clive Owen,SF,3,2,2,1,230,225.6,-1.913043478,0
Jupiter,Wachowskis,Wachowskis,Michael Giacchino,John Toll,Alexander Berner,Mila Kunis,Channing Tatum,Sean Bean,SF,3,2,1,1,179,181,1.117318436,1
Green Lantern,Martin Campbell,Greg Berlanti,James Newton Howard,Dion Beebe,Stuart Baird,Ryan Reynolds,Blake Lively,Peter Sarsgaard,Super-héros,1,1,0,1,200,219.8,9.9,1
Jack the Giant Slayer,Bryan Singer,Christopher McQuarrie,John Ottman,Newton Thomas Sigel,John Ottman,Nicholas Hoult,Eleanor Tomlinson,Ewan McGregor,Aventure,3,0,0,0,200,197.6,-1.2,0
Speed Racer,Wachowskis,Wachowskis,Michael Giacchino,David Tattersall,Zach Staenberg,Emile Hirsch,Christina Ricci,Matthew Fox,Action,3,1,0,0,200,95,-52.5,0
Point Break 2015,Ericson Core,Kurt Wimmer,Junkie XL,Ericson Core,Thom Noble,Luke Bracey,Édgar Ramírez,Ray Winstone,Policier,2,2,0,1,105,133.7,27.33333333,1
A quiet Place,John Krasinski,Scott Beck,Marco Beltrami,Charlotte Bruus Christensen,Christopher Tellefsen,Emily Blunt,John Krasinski,Noah Jupe,Horreur,0,1,1,1,17,340.9,1905.294118,2
A most violent year,J. C. Chandor,J. C. Chandor,Alex Ebert,Bradford Young,Ron Patane,Oscar Isaac,Jessica Chastain,Alessandro Nivola,Thriller,3,2,1,2,20,12,-40,0
The girl on the train,Tate Taylor,Erin Cressida Wilson,Danny Elfman,Charlotte Bruus Christensen,Michael McCusker,Emily Blunt ,Haley Bennett,Rebecca Ferguson,Thriller,3,0,1,1,45,173.2,284.8888889,2
The Hollars,John Krasinski,James C. Strouse,Josh Ritter,Eric Allen Edwards,Terel Gibson,John Krasinski,Anna Kendrick,Mary Elizabeth Winstead,Comédie,3,0,1,0,3.8,1.1,-71.05263158,0
Logan Lucky,Steven Soderbergh,Rebecca Blunt,David Holmes,Steven Soderbergh,Steven Soderbergh,Matthew McConaughey,Adam Driver,Daniel Craig,Comédie,3,1,2,1,29,48.5,67.24137931,2
The Beguiled,Sofia Coppola,Sofia Coppola,Phoenix,Philippe Le Sourd,Sarah Flack,Colin Farrel,Nicole Kidman,Kirsten Dunst,Drame,1,1,1,1,10,27.4,174,2
Three Billboards,Martin McDonagh,Martin McDonagh,Carter Burwell,Ben Davis,Jon Gregory,Frances McDormand,Sam Rockwell,Woody Harrelson,Comédie,3,2,2,2,13,159.2,1124.615385,2
Nous finirons ensemble,Guillaume Canet,Guillaume Canet,Rémi Daru,Christophe Offenstein,Hervé de Luze,François Cluzet,Marion Cotillard,Gilles Lellouche,Comédie,3,1,1,1,20,22.7,13.5,1
The Meg,Jon Turteltaub,Dean Georgaris,Harry Gregson-Williams,Tom Stern,Steven Kemper,Jason Statham,Li Bingbing,Rainn Wilson,Catastrophe,3,0,0,0,170,530,211.7647059,2
Ghostbusters 2016,Paul Feig,Paul Feig,Theodore Shapiro,Robert D. Yeoman,Don Zimmerman,Melissa McCarthy,Kristen Wiig,Kate McKinnon,Fantastique,2,0,0,1,144,229.1,59.09722222,2
Invincible,Angelina Jolie,Joel et Ethan Coen,Alexandre Desplat,Roger Deakins,Tim Squyres,Jack O'Connell ,Domhnall Gleeson,Garrett Hedlund,Biopic,2,2,2,3,65,163.4,151.3846154,2
Ex Machina,Alex Garland,Alex Garland,Geoff Barrow,Rob Hardy,Mark Day,Domhnall Gleeson,Alicia Vikander,Oscar Isaac,SF,3,2,2,1,15,36.9,146,2
The theory of everything,James Marsh,Anthony McCarten,Jóhann Jóhannsson,Benoît Delhomme,Jinx Godfrey,Eddie Redmayne,Felicity Jones,Charlie Cox,Biopic,2,2,1,3,15,123.7,724.6666667,2
Ave Cesar,Joel et Ethan Coen,Joel et Ethan Coen,Carter Burwell,Roger Deakins,Joel et Ethan Coen,Josh Brolin,George Clooney,Ralph Fiennes,Comédie,3,1,1,1,22,63.2,187.2727273,2
Black Snake,Karole Rocher,Jean-Pascal Zadi,Skread,Renaud Chassaing,Olivier Gajan,Thomas N'Gijol,Karole Rocher,Édouard Baer,Super-héros,1,0,0,0,9.5,1.2,-87.36842105,0
Kollektivet,Thomas Vinterberg,Thomas Vinterberg,Fons Merkies,Jesper Tøffner,Anne Osterud,Ulrich Thomsen,Fares Fares,Trine Dyrholm,Drame,1,2,1,1,5,4.3,-14,0
Kursk,Thomas Vinterberg,Robert Rodat,Alexandre Desplat,Anthony Dod Mantle,Valdís Óskarsdóttir,Matthias Schoenaerts,Colin Firth,Léa Seydoux,Historique,2,1,1,2,35,9,-74.28571429,0
Snowden,Oliver Stone,Oliver Stone,Craig Armstrong,Craig Armstrong ,Alex Marquez,Joseph Gordon-Levitt,Shailene Woodley,Melissa Leo,Drame,1,0,0,0,40,37.3,-6.75,0
In the heart of the sea,Ron Howard,Charles Leavitt,Roque Baños,Anthony Dod Mantle,Daniel P. Hanley,Chris Hemsworth,Cillian Murphy,Ben Whishaw,Aventure,3,2,1,2,100,93.9,-6.1,0
Dredd,Pete Travis,Alex Garland ,Paul Leonard-Morgan,Anthony Dod Mantle,Mark Eckersley,Karl Urban,Olivia Thirlby,Lena Headey,SF,3,1,0,1,45,41.5,-7.777777778,0
Rush,Ron Howard,Peter Morgan,Hans Zimmer,Anthony Dod Mantle,Daniel P. Hanley,Chris Hemsworth,Daniel Brühl,Olivia Wilde,Biopic,2,1,1,2,38,98.2,158.4210526,2
Edge of tomorrow,Doug Liman,Christopher McQuarrie,Christophe Beck,Dion Beebe,James Herbert,Tom Cruise,Emily Blunt,Brendan Gleeson,SF,3,2,1,1,178,370.5,108.1460674,2
The Lobster,Yórgos Lánthimos,Yórgos Lánthimos,Amy Ashworth,Thimios Bakatakis,Yorgos Mavropsaridis,Colin Farrell,Rachel Weisz,Léa Seydoux,SF,3,2,2,2,4,18,350,2
The killing of a sacred dear,Yórgos Lánthimos,Yórgos Lánthimos,Johnnie Burn,Thimios Bakatakis,Yorgos Mavropsaridis,Colin Farrell,Nicole Kidman,Alicia Silverstone,Thriller,3,2,2,1,1,6.1,510,2
La Vénus à la fourrure,Roman Polanski,Roman Polanski,Alexandre Desplat,Paweł Edelman,Margot Meynier,Emmanuelle Seigner,Mathieu Almaric,Aucun,Drame,1,1,1,0,5,8.3,66,2
D'après une histoire vraie,Roman Polanski,Roman Polanski,Alexandre Desplat,Paweł Edelman,Margot Meynier,Emmanuelle Seigner,Eva Green,Vincent Perez,Thriller,3,1,1,1,15,3.9,-74,0
Elle,Paul Verhoeven,David Birke,Anne Dudley,Stéphane Fontaine,Job ter Burg,Isabelle Huppert,Laurent Lafitte,Anne Consigny,Thriller,3,2,1,1,9.1,9.6,5.494505495,1
Réalité,Quentin Dupieux,Quentin Dupieux,Quentin Dupieux,Quentin Dupieux,Quentin Dupieux,Alain Chabat,Johnathan Lambert,Élodie Bouchez,Comédie noire,2,2,2,0,2.1,0.5,-76.19047619,0
Au poste !,Quentin Dupieux,Quentin Dupieux,David Sztanke,Quentin Dupieux,Quentin Dupieux,Benoît Poelvoorde,Grégoire Ludig,Marc Fraize,Comédie,3,0,1,0,1,2,100,2
Split,M. Night Shyamalan,M. Night Shyamalan,West Dylan Thordson,Mike Gioulakis,Luke Franco Ciarrocchi,James McAvoy,Anya Taylor-Joy,Betty Buckley,Thriller,3,2,1,1,9,278.4,2993.333333,2
