Titre,Réalisateur,Scénariste,Compositeur,Directeur photo,Directeur montage,Acteur 1,Acteur 2,Acteur 3,Genre,Popularité genre,Popularité thème,Rareté émotion,Référence,Budget (M$),Box Office (M$),Rentabilité (%),Succès
Bridge of spies,Joel et Ethan Coen,Thomas Newman,Thomas Newman,Janusz Kamiński,Michael Kahn,Tom Hanks,Mark Rylance,Amy Ryan,Espionnage,2,0,1,2,40,165.5,313.75,2
All the money in the world,Ridley Scott,David Scarpa,Daniel Pemberton,Dariusz Wolski,Claire Simpson,Michelle Williams,Mark Wahlberg,Christopher Plummer,Thriller,3,1,2,2,50,56.9,13.8,1
Exodus,Ridley Scott,Bill Collage,Alberto Iglesias,Dariusz Wolski,Billy Rich,Christian Bale,Joel Edgerton,John Turturro,Historique,2,1,1,2,140,268.2,91.57142857,2
The Martian,Ridley Scott,Drew Goddard,Harry Gregson-Williams,Dariusz Wolski,Pietro Scalia,Matt Damon,Jessica Chastain,Kristen Wiig,SF,3,2,3,0,108,630.2,483.5185185,2
The Big short,Adam McKay,Adam McKay,Nicholas Britell,Barry Ackroyd,Brent White,Christian Bale,Steve Carell,Ryan Gosling,Comédie noire,2,1,3,3,50,133.4,166.8,2
Moonlight,Barry Jenkins,Barry Jenkins,Nicholas Britell,James Laxton,Joi McMillon,Mahershala Ali,Janelle Monáe,Naomie Harris ,Drame,1,1,3,3,3,65.2,2073.333333,2
The birth of a nation,Nate Parker,Nate Parker,Henry Jackman,Elliot Davis,Steven Rosenblum,Nate Parker,Armie Hammer,Mark Boone Junior,Historique,2,1,2,3,8.5,16.8,97.64705882,2
Boyhood,Richard Linklater,Richard Linklater,Franklin Shepard,Lee Daniel,Sandra Adair,Ellar Coltrane,Patricia Arquette,Ethan Hawke,Comédie,3,0,3,1,4,57.3,1332.5,2
Call me by your name,Luca Guadagnino,Luca Guadagnino,Gerry Gershman,Sayombhu Mukdeeprom,Walter Fasano,Timothée Chalamet,Armie Hammer,Michael Stuhlbarg,Romance,1,0,2,1,3.5,41.9,1097.142857,2
Okja,Bong Joon-ho,Bong Joon-ho,Jaeil Jung,Darius Khondji,Meeyeon Han,Ahn Seo-hyeon,Tilda Swinton,Jake Gyllenhaal,Fantastique,2,1,2,2,50,2,-96,0
Widows,Steve McQueen,Steve McQueen,Hans Zimmer,Sean Bobbitt,Joe Walker,Viola Davis,Michelle Rodríguez,Elizabeth Debicki,Drame,1,1,1,1,42,76,80.95238095,2
Mademoiselle,Park Chan-wook,Park Chan-wook,Jo Yeong-wook,Chung Chung-hoon,Kim Jae-Bum,Kim Min-hee,Kim Tae-ri ,Ha Jeong-woo,Thriller,3,0,2,1,8.7,37.7,333.3333333,2
Monster Cars,Chris Wedge,Derek Connolly,David Sardy,Don Burgess,Conrad Buff IV,Lucas Till,Jane Levy,Amy Ryan,Fantastique,2,0,0,0,125,64.5,-48.4,0
Mortal engines,Peter Jackson,Peter Jackson,Tom Holkenborg,Simon Raby,Jonathan Woodford-Robinson,Hera Hilmar,Robert Sheehan,Hugo Weaving ,Fantastique,2,0,1,0,110,83.7,-23.90909091,0
King Arthur,Guy Ritchie,Guy Ritchie,Daniel Pemberton,John Mathieson,James Herbert,Charlie Hunnam,Àstrid Bergès-Frisbey,Djimon Hounsou ,Fantastique,2,0,0,1,175,148.7,-15.02857143,0
Death Wish,Eli Roth,Joe Carnahan,Ludwig Göransson,Rogier Stoffers,Mark Goldblatt,Bruce Willis,Vincent D'Onofrio ,Dean Norris,Policier,2,1,0,0,30,48,60,2
Overlord,Julius Avery,Billy Ray,Jed Kurzel,Laurie Rose,Matt Evans,Jovan Adepo,Wyatt Russell,Pilou Asbæk,Fantastique,2,1,0,2,38,41,7.894736842,1
The Girl in the spider web,Fede Álvarez,Steven Knight,Roque Baños,Pedro Luque,Tatiana S. Riegel,Claire Foy,Sverrir Gudnason,Lakeith Stanfield,Policier,2,0,0,2,43,34,-20.93023256,1
Hunter Killer,Donovan Marsh,Arne Schmidt,Trevor Morris,Tom Marais,Michael J. Duthie,Gerard Butler,Gary Oldman,Common,Action,3,0,0,0,40,30,-25,0
Suspiria,Luca Guadagnino,David Kajganich,Thom Yorke,Sayombhu Mukdeeprom,Walter Fasano,Dakota Johnson,Tilda Swinton,Mia Goth,Horreur,0,2,2,2,20,4.9,-75.5,0
Partriots day,Peter Berg,Peter Berg,Trent Reznor,Tobias A. Schliessler,Gabriel Fleming,Mark Wahlberg,Kevin Bacon,John Goodman,Policier,2,0,1,0,45,50.5,12.22222222,1
The dark tower,Nikolaj Arcel,Nikolaj Arcel,Tom Holkenborg,Rasmus Videbaek,Alan Edward Bell,Idris Elba,Matthew McConaughey,Tom Taylor,Fantastique,2,1,0,0,66,20,-69.6969697,0
Kong Skull Island,Jordan Vogt-Roberts,Max Borenstein,Henry Jackman,Larry Fong,Christian Wagner,Tom Hiddleston,Samuel L. Jackson,Brie Larson,Fantastique,2,1,1,1,185,566.7,206.3243243,2
Barry Seal,Doug Liman,Gary Spinelli,Christophe Beck,César Charlone,Dylan Tichenor,Tom Cruise,Sarah Wright,Domhnall Gleeson,Policier,2,0,1,1,50,134.9,169.8,2
Ben Hur,Timur Bekmambetov,John Ridley,Marco Beltrami,Oliver Wood,Dody Dorn,Jack Huston,Toby Kebbell,Sofia Black D'Elia,Historique,2,0,0,1,100,94.1,-5.9,0
Gods of Egypt,Alex Proyas,Matt Sazama,Marco Beltrami,Peter Menzies Jr.,Richard Learoyd,Nikolaj Coster-Waldau,Gerard Butler,Brenton Thwaites,Fantastique,2,1,0,0,140,150.7,7.642857143,1
Finest hours,Craig Gillespie,Eric Johnson,Carter Burwell,Javier Aguirresarobe,Tatiana S. Riegel,Chris Pine,Casey Affleck,Eric Bana,Action,3,1,0,0,75,52.1,-30.53333333,0
Darkest hours,Joe Wright,Anthony McCarten,Dario Marianelli,Bruno Delbonnel,Valerio Bonelli,Gary Oldman,Ben Mendelsohn,Kristin Scott Thomas,Historique,2,1,3,3,30,150.9,403,2
Geostorm,Dean Devlin,Dean Devlin,Lorne Balfe,Roberto Schaefer,Ron Rosen,Gerard Butler,Jim Sturgess,Abbie Cornish,Catastrophe,1,0,0,0,130,221.5,70.38461538,2
Deep water,Peter Berg,Matthew Michael Carnahan,Steve Jablonsky,Enrique Chediak,Colby Parker Jr.,Mark Wahlberg,Kurt Russell,Gina Rodriguez,Catastrophe,1,0,0,0,156,121.8,-21.92307692,0
Robin Hood,Otto Bathurst,Ben Chandler,Joseph Trapanese,George Steel,Chris Barwell,Taron Egerton,Jamie Foxx,Ben Mendelsohn,Aventure,3,0,0,1,100,84.8,-15.2,0
Hotel El Royale,Drew Goddard,Drew Goddard,Michael Giacchino,Seamus McGarvey,Lisa Lassek,Jeff Bridges,Cynthia Erivo,Dakota Johnson,Thriller,3,1,0,1,32,31.5,-1.5625,0
Murder on the Orient Express,Kenneth Branagh,Michael Green,Patrick Doyle,Haris Zambarloukos,Mick Audsley,Kenneth Branagh,Tom Bateman,Daisy Ridley,Policier,2,1,1,2,55,352.8,541.4545455,2
Concussion,Peter Landesman,Peter Landesman,James Newton Howard,Salvatore Totino,William Goldenberg,Will Smith,Alec Baldwin,Albert Brooks,Drame,1,0,1,3,35,49,40,1
Testament of Youth,James Kent,Juliette Towhidi,Max Richter,Rob Hardy,Lucia Zucchetti,Alicia Vikander,Kit Harington,Colin Morgan,Historique,2,0,0,0,10,5.3,-47,0
Bohemian Rhapsody,Dexter Fletcher,Anthony McCarten,John Ottman,Newton Thomas Sigel,John Ottman,Rami Malek,Lucy Boynton,Gwilym Lee,Biopic,2,2,3,3,55,903.7,1543.090909,2
Tom of Finland,Dome Karukoski,Aleksi Bardy,Hildur Guðnadóttir,Lasse Frank Johannessen,Harri Ylönen,Pekka Strang,Lauri Tilkanen,Jessica Grabowsky,Biopic,2,0,1,2,3.8,1.4,-63.15789474,0
Once upon a time in Hollywood,Quentin Tarantino,Quentin Tarantino,Aucun,Robert Richardson,Fred Raskin,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Comédie noire,2,2,1,1,90,350,288.8888889,2
Vice,Adam McKay,Adam McKay,Nicholas Britell,Patrice Vermette,Hank Corwin,Christian Bale,Amy Adams,Steve Carell,Biopic,2,2,2,3,60,76.1,26.83333333,1
Blackklansman,Spike Lee,Spike Lee,Terence Blanchard,Chayse Irvin,Barry Alexander Brown,John David Washington,Adam Driver ,Laura Harrier,Biopic,2,2,2,3,15,93.3,522,2
The Favourite,Yórgos Lánthimos,Yórgos Lánthimos,Komeil S. Hosseini,Robbie Ryan,Yorgos Mavropsaridis,Emma Stone,Rachel Weisz,Olivia Colman,Historique,2,2,2,2,15,95.9,539.3333333,2
Green book,Peter Farrelly,Nick Vallelonga,Kris Bowers,Sean Porter,Patrick J. Don Vito,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Comédie,3,2,2,3,23,322.6,1302.608696,2
Alita,Robert Rodriguez,James Cameron ,Tom Holkenborg,Bill Pope,Stephen E. Rivkin,Christoph Waltz,Jennifer Connelly,Mahershala Ali,SF,3,3,3,2,200,404.9,102.45,2
The Dead don't die,Jim Jarmusch,Jim Jarmusch,Jim Jarmusch,Frederick Elmes,Affonso Gonçalves,Bill Murray,Adam Driver,Tilda Swinton,Comédie,3,1,2,0,10,13.9,39,1
Detective Pikachu,Rob Letterman,Derek Connolly,Henry Jackman,John Mathieson,Mark Sanger,Ryan Reynolds,Justice Smith,Kathryn Newton,Fantastique,2,1,1,1,150,431.6,187.7333333,2
Rocketman,Dexter Fletcher,Lee Hall,Matthew Margeson,George Richmond,Chris Dickens,Taron Egerton,Jamie Bell,Richard Madden,Biopic,2,2,3,3,40,192.4,381,2
Escape room,Adam Robitel,Bragi F. Schut,Brian Tyler,Marc Spicer,Steve Mirkovich,Taylor Russell,Logan Miller,Deborah Ann Woll,Horreur,0,2,2,1,9,155.7,1630,2
Replicas,Jeffrey Nachmanoff,Chad St. John,Mark Kilian,Checco Varese,Pedro Javier Muñiz,Keanu Reeves,Alice Eve,Emily Alyn Lind,SF,3,1,0,0,30,9,-70,0
Fighting with my family,Stephen Merchant,Stephen Merchant,Vik Sharma,Remi Adefarasin,Nancy Richardson,Florence Pugh,Nick Frost,Lena Headey,Comédie,3,0,1,1,11,39.1,255.4545455,2
The Aftermath,James Kent,Joe Shrapnel,Martin Phipps,Franz Lustig,Beverley Mills,Keira Knightley,Alexander Skarsgård,Jason Clarke,Drame,1,0,0,0,23,9.2,-60,0
Tolkien,Dome Karukoski,David Gleeson,Thomas Newman,Lasse Frank Johannessen,Harri Ylönen,Nicholas Hoult,Lily Collins,Colm Meaney,Biopic,2,1,0,1,20,7.8,-61,0
Parasite,Bong Joon-ho,Bong Joon-ho,Jeong Jae-il,Hong Kyeong-pyo,Yang Jin-mo,Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,Horreur,0,1,3,1,11,90.1,719.0909091,2
Us,Jordan Peele,Jordan Peele,Michael Abels,Mike Gioulakis,Nicholas Monsour,Lupita Nyong'o,Winston Duke,Elisabeth Moss,Horreur,0,2,2,1,20,254.7,1173.5,2
The Mule,Clint Eastwood,Nick Schenk,Arturo Sandoval,Yves Bélanger,Joel Cox,Clint Eastwood,Bradley Cooper,Laurence Fishburne,Drame,1,2,1,2,50,172.5,245,2
Yestersday,Danny Boyle,Richard Curtis,Daniel Pemberton,Christopher Ross,Jon Harris,Himesh Patel,Lily James,Ed Sheeran,Fantastique,2,2,2,1,26,137.1,427.3076923,2
Firstman,Damien Chazelle,Josh Singer,Justin Hurwitz,Linus Sandgren,Tom Cross,Ryan Gosling,Claire Foy,Corey Stoll,Biopic,2,3,3,3,59,105.7,79.15254237,2
If Beale Street Could Talk,Barry Jenkins,Barry Jenkins,Nicholas Britell,James Laxton,Nat Sanders,KiKi Layne,Milanni Mines,Stephan James,Romance,1,1,1,2,12,20.6,71.66666667,2
